HCAT3_name,HCAT3_code
characteristics,3000000000
crop_type,3300000000
arable_crops,3301000000
cereal,3301010000
common_soft_wheat,3301010100
winter_common_soft_wheat,3301010101
spring_common_soft_wheat,3301010102
unspecified_season_common_soft_wheat,3301010199
durum_hard_wheat,3301010200
winter_durum_hard_wheat,3301010201
spring_durum_hard_wheat,3301010202
summer_durum_hard_wheat,3301010203
unspecified_season_durum_hard_wheat,3301010299
rye,3301010300
winter_rye,3301010301
spring_rye,3301010302
summer_rye,3301010303
unspecified_season_rye,3301010399
barley,3301010400
winter_barley,3301010401
spring_barley,3301010402
summer_barley,3301010403
unspecified_season_barley,3301010499
oats,3301010500
winter_oats,3301010501
spring_oats,3301010502
summer_oats,3301010503
unspecified_season_oats,3301010599
grain_maize_corn_popcorn,3301010600
unspecified_season_grain_maize_corn_popcorn,3301010699
rice,3301010700
unspecified_season_rice,3301010799
triticale,3301010800
winter_triticale,3301010801
spring_triticale,3301010802
summer_triticale,3301010803
unspecified_season_triticale,3301010899
millet_sorghum,3301010900
winter_millet_sorghum,3301010901
spring_millet_sorghum,3301010902
summer_millet_sorghum,3301010903
teff,3301010904
unspecified_season_millet_sorghum,3301010999
spelt,3301011000
winter_spelt,3301011001
spring_spelt,3301011002
summer_spelt,3301011003
unspecified_season_spelt,3301011099
meslin,3301011100
winter_meslin,3301011101
spring_meslin,3301011102
summer_meslin,3301011103
unspecified_season_meslin,3301011199
emmer,3301011200
winter_emmer,3301011201
spring_emmer,3301011202
summer_emmer,3301011203
unspecified_season_emmer,3301011299
einkorn,3301011300
winter_einkorn,3301011301
spring_einkorn,3301011302
summer_einkorn,3301011303
unspecified_season_einkorn,3301011399
canary_seed_canaryseed,3301011400
unspecified_season_canary_seed_canaryseed,3301011499
unspecified_cereals,3301011500
winter_unspecified_cereals,3301011501
spring_unspecified_cereals,3301011502
summer_unspecified_cereals,3301011503
unspecified_season_unspecified_cereals,3301011599
other_cereals,3301019900
unspecified_season_other_cereals,3301019999
legumes_dried_pulses_protein_crops,3301020000
beans,3301020100
chickpeas,3301020200
esparsette_onobrychis,3301020300
fenugreek,3301020400
lentils,3301020500
peas,3301020600
sweet_lupins,3301020700
unspecified_legumes_dried_pulses_protein_crops,3301029800
other_dry_pulses,3301029900
potatoes,3301030000
sweet_potatoes,3301040000
fodder_roots,3301050000
industrial_nonfood_crops,3301060000
tobacco,3301060100
hops,3301060200
cotton,3301060300
rapeseed_rape,3301060400
winter_rapeseed_rape,3301060401
spring_rapeseed_rape,3301060402
summer_rapeseed_rape,3301060403
unspecified_season_rapeseed_rape,3301060499
sunflower,3301060500
poppy,3301060600
winter_poppy,3301060601
summer_poppy,3301060602
flax_linseed,3301060700
flax_linen,3301060701
flax_linseed_oil,3301060702
oilseed_crops,3301060800
guizotia_abyssinica_nyger,3301060900
hemp_cannabis,3301061000
finola,3301061001
fibre_crops,3301061100
aromatic_medicinal_culinary_plants_spices_herbs,3301061200
actaea_baneberry_christopher_herbs,3301061201
alchemilla_ladys_mantle,3301061202
anethum_dill,3301061203
angelica,3301061204
anise_aniseed,3301061205
artemisia,3301061206
basil,3301061207
black_cumin,3301061208
borage,3301061209
calendula_marigold,3301061210
caraway,3301061211
catnip,3301061212
chamomile,3301061213
chervil,3301061214
coriander,3301061215
ericaceae_heather,3301061216
galium_bedstraw,3301061217
hibiscus,3301061218
lavender_lavandula,3301061219
lemon_balm_melissa,3301061220
lovage_maggiplant,3301061221
mints_peppermint,3301061222
moldavian_dragonhead,3301061223
nasturtiums,3301061224
nettles,3301061225
oregano,3301061226
parsly,3301061227
piper_pepper,3301061228
polygonum,3301061229
rosemary,3301061230
rubia_tinctorum_common_madder,3301061231
saffron_crocus_sativus,3301061232
silver_comb,3301061233
st_johns_wort,3301061234
stachys_hedgenettle_chinese_artichoke,3301061235
tarragon,3301061236
thyme,3301061237
valerian,3301061238
yarrow,3301061239
unspecified_aromatic_medicinal_culinary_plants_spices_herbs,3301061298
other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299
marian_thistles,3301061300
phacelia,3301061400
camelina,3301061500
onobrychis_sainfoins,3301061600
other_industrial_crops,3301069900
fresh_vegetables,3301070000
flowers_ornamental_plants,3301080000
adonis,3301080100
anemones_windflowers,3301080200
asters,3301080300
begonias,3301080400
bluebells,3301080500
bulrush,3301080600
burnet,3301080700
carnation,3301080800
chrysanthemum,3301080900
cornflowers,3301081000
corsican_hellebore,3301081100
dahlia,3301081200
daisy_daisies,3301081300
dandelions,3301081400
echinacea_sun_hat,3301081500
edelweiss,3301081600
fiddleneck_amsinckia,3301081700
fuchsias,3301081800
galega,3301081900
gentians,3301082000
gladiolus_gladioli,3301082100
goldenrod,3301082200
iris,3301082300
isatis_tinctoria_woad,3301082400
lilies,3301082500
lotus,3301082600
lunaria_honesty_silver,3301082700
malva,3301082800
milk_star,3301082900
miscanthus_silvergrass,3301083000
monstera_adansonii_eyelet,3301083100
moonseed,3301083200
narcissus_daffodil,3301083300
peony_peonies,3301083400
primrose,3301083500
rhododendron,3301083600
roses,3301083700
rudbeckia_coneflowers,3301083800
safflower,3301083900
salsify,3301084000
sanvitalia_procumbens,3301084100
serradella,3301084200
silene_catchfly,3301084300
silphium_rosinweeds,3301084400
snapdragons,3301084500
stonecrop,3301084600
tagetes,3301084700
thimbles,3301084800
tulips,3301084900
viola,3301085000
violets_pansies,3301085100
zinnias,3301085200
unspecified_flowers_ornamental_plants,3301089800
other_flowers_ornamental_plants,3301089900
plants_harvested_green,3301090000
temporary_grass,3301090100
poaceae_grasses,3301090200
elymus,3301090201
festuca_fescue,3301090202
cocksfoot_catgrass,3301090203
festulolium,3301090204
lolium_ryegrass,3301090205
setaria,3301090206
sod_turf,3301090207
switchgrass,3301090208
timothy,3301090209
legumes_harvested_green,3301090300
alfalfa_lucerne,3301090301
arachis,3301090302
clover,3301090303
melilot,3301090304
vetches,3301090305
unspecified_legumes_harvested_green,3301090398
green_silo_maize,3301090400
other_plants_harvested_green,3301099900
arable_land_seed_seedlings,3301100000
fallow_land_not_crop,3301110000
kitchen_gardens,3301120000
strawberries,3301130000
cucurbits,3301140000
cucumber_pickle,3301140100
honeydew,3301140200
melon,3301140300
pumpkin_squash_gourd,3301140400
watermelon,3301140500
zucchini_courgette,3301140600
pseudocereal,3301150000
amaranth,3301150100
buckwheat,3301150200
quinoa,3301150300
soy_soybeans,3301160000
fennel,3301170000
topinambur_jerusalem_artichoke,3301180000
sage_chia,3301190000
asparagus,3301200000
brassicaceae_cruciferae,3301210000
mustard,3301210100
brassica_oleracea_cabbage,3301210200
bok_choy_pak_choi,3301210201
broccoli,3301210202
brussels_sprouts,3301210203
cauliflower,3301210204
chinese_cabbage,3301210205
collard_greens,3301210206
gai_lan,3301210207
kale,3301210208
kohlrabi,3301210209
red_cabbage,3301210210
savoy_cabbage,3301210211
white_cabbage,3301210212
other_brassica_oleracea_cabbage,3301210299
cress,3301210300
horseradish,3301210400
swede_rutabaga,3301210500
alliums,3301220000
chives,3301220100
garlic,3301220200
leek,3301220300
onions,3301220400
scallion,3301220500
shallot,3301220600
rhubarb,3301230000
purslane,3301240000
celery,3301250000
celeriac,3301250100
leaf_celery,3301250200
aubergine_eggplant,3301260000
artichoke,3301270000
tomato,3301280000
root_vegetables,3301290000
arctium_burdock,3301290100
beetroot_beets,3301290200
carrots_daucus,3301290300
mangelwurzel_fodder_beet,3301290400
parsnips,3301290500
radish,3301290600
sugar_beet,3301290700
turnips,3301290800
unspecified_root_vegetables,3301299800
capsicum,3301300000
bell_pepper_paprika,3301300100
chili_pepper,3301300200
salads_lettuce_leaf_vegetables,3301310000
chard,3301310100
chicory_chicories,3301310200
endive,3301310300
iceberg,3301310400
lambs_lettuce_rapunzel,3301310500
rocket_arugula,3301310600
sorrel,3301310700
spinach,3301310800
other_salads_lettuce_leaf_vegetables,3301319900
other_arable_land_crops,3301990000
pasture_meadow_grassland_grass,3302000000
permanent_crops_perennial,3303000000
orchards_fruits,3303010000
amelanchier_serviceberry,3303010100
apples,3303010200
apricots,3303010300
cherry_cherries,3303010400
feijoa,3303010500
fig,3303010600
kiwi,3303010700
medlar_loquat,3303010800
nectarine,3303010900
pawpaw,3303011000
peach,3303011100
pears,3303011200
plums,3303011300
pomegranate,3303011400
quinces,3303011500
unspecified_orchards_fruits,3303019800
berries_berry_species,3303020000
aronia_chokeberries,3303020100
blackberry,3303020200
blackcurrant_cassis,3303020300
blueberry,3303020400
cranberry,3303020500
currants,3303020600
gooseberry_gooseberries_cranberries,3303020700
hippophae_sea_buckthorns_seaberry,3303020800
jostaberry,3303020900
raspberry_raspberries,3303021000
redcurrant,3303021100
rose_hip_rosehip,3303021200
rowan_rowanberries,3303021300
tayberry,3303021400
unspecified_berries_berry_species,3303029800
nuts,3303030000
almond,3303030100
hazelnuts_hazel,3303030200
pecan,3303030300
pistachio,3303030400
sweet_chestnuts,3303030500
walnuts,3303030600
citrus_plantations,3303040000
olive_plantations,3303050000
olives_for_oil_production,3303050100
table_olives,3303050200
vineyards_wine_vine_rebland_grapes,3303060000
nurseries_nursery,3303070000
shrubberries_shrubs,3303080000
azaleas,3303080100
chaenomeles_cathayensis,3303080200
crataegus_hawthorn,3303080300
elder_elderberry,3303080400
honeysuckle,3303080500
ricinus_castor,3303080600
wire_bush,3303080700
ginko,3303090000
avocado,3303100000
legumes_from_trees,3303110000
carob,3303110100
mesquite,3303110200
tamarind,3303110300
unspecified_permanent_crops,3303120000
other_permanent_crops_plantations,3303990000
mushrooms_energy_genetically_modified_crops,3304000000
energy_crops,3304010000
genetically_modified_crops,3304020000
igniscum_candy,3304020100
sida_virginia_mallow,3304030000
truffle,3304040000
other_mushrooms_energy_crops_genetically_modified_crops,3304990000
greenhouse_foil_film,3305000000
tree_wood_forest,3306000000
afforestation_reforestation,3306010000
aspen,3306020000
birch,3306030000
dogwood_cornus,3306040000
eucalyptus,3306050000
oak,3306060000
populus,3306070000
willows_osiers,3306080000
unspecified_tree_wood_forest,3306980000
other_tree_wood_forest,3306990000
peat_turf,3307000000
unmaintained,3308000000
not_known_and_other,3399000000
